split_percentage,run,epoch,loss,train,valid,test,key
20, 01,93,0.5890,4.29,3.02,1.97,Hits@10
20, 01,93,0.5890,7.74,6.64,5.44,Hits@20
20, 01,93,0.5890,10.65,9.59,7.59,Hits@30
20, 01,94,0.5869,4.73,3.60,2.82,Hits@10
20, 01,94,0.5869,9.96,9.12,5.32,Hits@20
20, 01,94,0.5869,11.47,10.68,7.60,Hits@30
20, 01,95,0.5889,4.31,3.29,1.68,Hits@10
20, 01,95,0.5889,8.08,7.09,5.55,Hits@20
20, 01,95,0.5889,10.53,9.60,6.99,Hits@30
20, 01,96,0.5916,5.18,4.15,2.09,Hits@10
20, 01,96,0.5916,9.14,8.18,4.10,Hits@20
20, 01,96,0.5916,10.78,9.84,6.21,Hits@30
20, 01,97,0.5893,4.82,3.65,2.96,Hits@10
20, 01,97,0.5893,10.52,9.53,4.74,Hits@20
20, 01,97,0.5893,12.52,11.54,7.75,Hits@30
20, 01,98,0.5852,4.53,3.42,2.21,Hits@10
20, 01,98,0.5852,6.91,5.77,7.89,Hits@20
20, 01,98,0.5852,9.58,8.35,9.88,Hits@30
20, 01,99,0.5844,6.44,5.43,4.25,Hits@10
20, 01,99,0.5844,11.64,10.82,7.35,Hits@20
20, 01,99,0.5844,13.58,12.69,9.06,Hits@30
20, 01,100,0.5824,5.02,3.88,2.78,Hits@10
20, 01,100,0.5824,9.19,8.00,5.13,Hits@20
20, 01,100,0.5824,11.15,9.97,7.08,Hits@30
20, 01,101,0.5830,6.14,5.08,3.68,Hits@10
20, 01,101,0.5830,10.36,9.38,5.47,Hits@20
20, 01,101,0.5830,12.26,11.30,7.90,Hits@30
20, 01,102,0.5808,4.55,3.29,3.30,Hits@10
20, 01,102,0.5808,9.96,8.82,5.81,Hits@20
20, 01,102,0.5808,11.54,10.39,7.46,Hits@30
20, 01,103,0.5774,6.67,5.54,3.27,Hits@10
20, 01,103,0.5774,10.29,9.32,7.77,Hits@20
20, 01,103,0.5774,12.75,11.81,9.19,Hits@30
20, 01,104,0.5778,5.77,4.61,4.70,Hits@10
20, 01,104,0.5778,11.23,10.26,8.82,Hits@20
20, 01,104,0.5778,12.93,11.91,10.80,Hits@30
20, 01,105,0.5796,5.33,4.19,3.50,Hits@10
20, 01,105,0.5796,10.31,9.20,6.92,Hits@20
20, 01,105,0.5796,11.88,10.86,8.50,Hits@30
20, 01,106,0.5746,7.06,5.96,3.36,Hits@10
20, 01,106,0.5746,11.37,10.36,6.37,Hits@20
20, 01,106,0.5746,13.27,12.30,8.99,Hits@30
20, 01,107,0.5773,6.95,5.75,3.24,Hits@10
20, 01,107,0.5773,11.10,10.11,6.68,Hits@20
20, 01,107,0.5773,12.88,11.82,9.44,Hits@30
20, 01,108,0.5756,5.14,3.83,3.78,Hits@10
20, 01,108,0.5756,9.93,8.69,6.86,Hits@20
20, 01,108,0.5756,11.74,10.46,8.21,Hits@30
20, 01,109,0.5712,7.45,6.46,5.37,Hits@10
20, 01,109,0.5712,11.84,11.02,9.31,Hits@20
20, 01,109,0.5712,13.59,12.67,10.87,Hits@30
20, 01,110,0.5725,7.83,6.71,3.75,Hits@10
20, 01,110,0.5725,11.35,10.41,8.81,Hits@20
20, 01,110,0.5725,14.02,12.97,11.02,Hits@30
20, 01,111,0.5694,6.33,5.04,3.80,Hits@10
20, 01,111,0.5694,10.34,9.10,7.20,Hits@20
20, 01,111,0.5694,12.05,10.79,9.26,Hits@30
20, 01,112,0.5678,7.64,6.62,3.12,Hits@10
20, 01,112,0.5678,11.64,10.65,7.05,Hits@20
20, 01,112,0.5678,14.05,12.94,9.65,Hits@30
20, 01,113,0.5650,9.53,8.65,5.93,Hits@10
20, 01,113,0.5650,12.91,11.96,11.05,Hits@20
20, 01,113,0.5650,14.72,13.69,12.54,Hits@30
20, 01,114,0.5704,8.41,7.45,5.01,Hits@10
20, 01,114,0.5704,12.22,11.31,9.04,Hits@20
20, 01,114,0.5704,14.04,13.06,11.65,Hits@30
20, 01,115,0.5689,9.09,8.21,4.79,Hits@10
20, 01,115,0.5689,12.02,11.14,7.97,Hits@20
20, 01,115,0.5689,14.57,13.59,12.47,Hits@30
20, 01,116,0.5638,7.60,6.44,5.84,Hits@10
20, 01,116,0.5638,11.27,10.08,8.86,Hits@20
20, 01,116,0.5638,13.28,11.98,12.25,Hits@30
20, 01,117,0.5689,8.38,7.32,3.57,Hits@10
20, 01,117,0.5689,10.95,9.75,8.59,Hits@20
20, 01,117,0.5689,13.05,11.87,13.01,Hits@30
20, 01,118,0.5643,6.87,5.83,4.08,Hits@10
20, 01,118,0.5643,11.34,10.18,8.92,Hits@20
20, 01,118,0.5643,13.62,12.39,12.55,Hits@30
20, 01,119,0.5625,8.31,7.29,6.34,Hits@10
20, 01,119,0.5625,13.08,11.87,10.17,Hits@20
20, 01,119,0.5625,15.56,14.30,14.84,Hits@30
20, 01,120,0.5583,7.66,6.57,6.42,Hits@10
20, 01,120,0.5583,10.73,9.63,9.60,Hits@20
20, 01,120,0.5583,14.83,13.49,14.79,Hits@30
20, 01,121,0.5602,7.92,6.79,8.43,Hits@10
20, 01,121,0.5602,12.50,11.20,13.31,Hits@20
20, 01,121,0.5602,15.26,13.90,15.41,Hits@30
20, 01,122,0.5564,7.52,6.53,3.41,Hits@10
20, 01,122,0.5564,12.68,11.46,8.69,Hits@20
20, 01,122,0.5564,14.76,13.51,13.35,Hits@30
20, 01,123,0.5560,5.75,4.74,5.34,Hits@10
20, 01,123,0.5560,12.12,10.75,10.28,Hits@20
20, 01,123,0.5560,13.59,12.19,13.35,Hits@30
20, 01,124,0.5592,5.90,4.85,3.37,Hits@10
20, 01,124,0.5592,10.53,9.14,8.29,Hits@20
20, 01,124,0.5592,12.17,10.73,11.82,Hits@30
20, 01,125,0.5543,6.63,5.62,3.36,Hits@10
20, 01,125,0.5543,10.53,9.16,8.09,Hits@20
20, 01,125,0.5543,12.45,10.98,11.35,Hits@30
20, 01,126,0.5553,7.65,6.78,3.08,Hits@10
20, 01,126,0.5553,12.92,11.81,8.56,Hits@20
20, 01,126,0.5553,15.87,14.59,14.17,Hits@30
20, 01,127,0.5530,6.35,5.61,3.35,Hits@10
20, 01,127,0.5530,12.91,11.72,10.59,Hits@20
20, 01,127,0.5530,16.07,14.81,16.15,Hits@30
20, 01,128,0.5512,5.52,4.57,4.31,Hits@10
20, 01,128,0.5512,11.31,10.01,9.83,Hits@20
20, 01,128,0.5512,13.63,12.22,13.47,Hits@30
20, 01,129,0.5515,5.79,4.69,4.30,Hits@10
20, 01,129,0.5515,9.97,8.67,8.65,Hits@20
20, 01,129,0.5515,13.32,11.83,11.67,Hits@30
20, 01,130,0.5538,7.09,6.35,3.07,Hits@10
20, 01,130,0.5538,11.84,10.80,10.66,Hits@20
20, 01,130,0.5538,15.86,14.59,15.83,Hits@30
20, 01,131,0.5494,6.14,5.13,5.08,Hits@10
20, 01,131,0.5494,11.77,10.72,11.39,Hits@20
20, 01,131,0.5494,15.70,14.46,16.05,Hits@30
20, 01,132,0.5488,5.16,4.10,4.54,Hits@10
20, 01,132,0.5488,10.17,8.79,10.80,Hits@20
20, 01,132,0.5488,13.19,11.65,13.56,Hits@30
20, 01,133,0.5469,5.84,5.08,4.95,Hits@10
20, 01,133,0.5469,11.66,10.63,11.86,Hits@20
20, 01,133,0.5469,15.16,14.07,15.75,Hits@30
20, 01,134,0.5514,8.05,7.19,5.67,Hits@10
20, 01,134,0.5514,13.67,12.91,14.29,Hits@20
20, 01,134,0.5514,18.25,17.20,17.06,Hits@30
20, 01,135,0.5461,6.26,5.39,6.67,Hits@10
20, 01,135,0.5461,13.49,12.28,13.21,Hits@20
20, 01,135,0.5461,15.78,14.44,17.42,Hits@30
20, 01,136,0.5431,6.45,5.68,4.92,Hits@10
20, 01,136,0.5431,13.53,12.42,12.60,Hits@20
20, 01,136,0.5431,16.84,15.68,17.12,Hits@30
20, 01,137,0.5469,5.00,4.33,3.65,Hits@10
20, 01,137,0.5469,12.26,10.97,9.45,Hits@20
20, 01,137,0.5469,15.35,13.85,14.88,Hits@30
20, 01,138,0.5460,4.13,3.31,3.52,Hits@10
20, 01,138,0.5460,11.61,10.40,10.20,Hits@20
20, 01,138,0.5460,14.93,13.49,15.07,Hits@30
20, 01,139,0.5436,3.77,3.00,4.56,Hits@10
20, 01,139,0.5436,8.04,6.80,9.41,Hits@20
20, 01,139,0.5436,11.72,10.22,12.68,Hits@30
20, 01,140,0.5405,5.43,4.74,2.46,Hits@10
20, 01,140,0.5405,12.49,11.14,11.22,Hits@20
20, 01,140,0.5405,15.79,14.30,15.40,Hits@30
